calls	Unconfined	AppArmor	UserArmor	bwrap
10	0.22	0.21	0.23	0.29
20	0.39	0.39	0.42	0.54
30	0.62	0.62	0.65	0.77
40	0.79	0.82	0.85	1.05
50	0.99	1.01	1.08	1.32
60	1.14	1.17	1.28	1.6
70	1.34	1.35	1.48	1.88
80	1.6	1.55	1.71	2.1
90	1.72	1.75	1.92	2.37
100	1.96	1.95	2.15	2.58
